Team,Opponent,Ground,Toss,Selection,Run_Scored,Wicket_Lost,Fours,Sixes,Extras,Run_Rate,Avg_Bat_Strike_Rate,Maximum_Partnership,Wicket_Taken,Highest_Individual_wicket,Result
Hong Kong,Pakistan,Colombo(SSC),Lose,Bowling,165,10,17,1,29,3.73,38.65,36,5,2,Lose
Pakistan,Hong Kong,Colombo(SSC),Win,Batting,343,5,24,6,13,6.86,136.56,144,10,4,Win
Sri Lanka,India,Dambulla,Win,Batting,282,4,19,3,27,5.64,87.88,58,8,3,Win
India,Sri Lanka,Dambulla,Lose,Bowling,270,8,23,2,34,5.4,73.76,82,4,1,Lose
Bangladesh,India,Colombo(SSC),Lose,Batting,177,10,9,2,37,3.6,34.2,35,2,1,Lose
India,Bangladesh,Colombo(SSC),Win,Bowling,178,2,16,4,19,4.62,89.6,82,10,3,Win
Sri Lanka,Pakistan,Colombo(RPS),Lose,Bowling,123,3,10,0,25,3.84,56.99,26,10,3,Win
Pakistan,Sri Lanka,Colombo(RPS),Win,Batting,122,10,7,1,16,3.06,33.51,43,3,2,Lose
Sri Lanka,Bangladesh,Colombo(RPS),Lose,Bowling,191,0,15,0,20,5.7,84.97,107,9,3,Win
Bangladesh,Sri Lanka,Colombo(RPS),Win,Batting,190,9,12,1,20,3.8,79.55,66,0,0,Lose
India,Pakistan,Colombo(RPS),Lose,Bowling,241,8,18,1,38,4.82,59.68,78,9,3,Lose
Pakistan,India,Colombo(RPS),Win,Batting,300,9,29,2,21,6,68.11,143,8,2,Win
Sri Lanka,India,Colombo(RPS),Lose,Bowling,267,9,20,3,26,5.34,72.7,130,6,2,Lose
India,Sri Lanka,Colombo(RPS),Win,Batting,271,6,23,2,20,5.42,84.49,79,9,3,Win
Bangladesh,Pakistan,Colombo(RPS),Win,Batting,166,10,12,0,37,3.66,34.08,54,4,1,Lose
Pakistan,Bangladesh,Colombo(RPS),Lose,Bowling,167,4,22,0,10,4.07,62.75,48,10,3,Win
Sri Lanka,India,Colombo(RPS),Win,Batting,228,9,18,0,32,4.56,60.69,65,9,3,Win
India,Sri Lanka,Colombo(RPS),Lose,Bowling,203,9,13,3,25,4.06,58.39,74,9,2,Lose
Bangladesh,UAE,Lahore,Win,Batting,300,8,22,1,18,6,95.6,109,10,3,Win
UAE,Bangladesh,Lahore,Lose,Bowling,204,10,22,1,10,4.46,57.53,78,8,3,Lose
Pakistan,Hong Kong,Karachi,Win,Batting,288,9,30,1,12,5.76,79.88,67,10,2,Win
Hong Kong,Pakistan,Karachi,Lose,Bowling,133,10,13,0,16,3.56,40.08,26,9,4,Lose
